,Unnamed: 0,age,sex,education,marriage,occupation,language,ID
251,251,34,0.0,1.0,2.0,1.0,,LLM252
252,252,36,0.0,0.0,0.0,1.0,0.0,LLM253
253,253,34,0.0,,2.0,,,LLM254
254,254,35,0.0,1.0,1.0,2.0,,LLM255
255,255,21,1.0,0.0,0.0,1.0,,LLM256
256,256,21,1.0,0.0,1.0,3.0,,LLM257
257,257,만21세,1.0,1.0,1.0,3.0,,LLM258
258,258,23,1.0,0.0,1.0,1.0,,LLM259
259,259,20,1.0,0.0,0.0,3.0,,LLM260
260,260,21,1.0,0.0,0.0,3.0,,LLM261
261,261,20,0.0,0.0,1.0,3.0,,LLM262
262,262,36,1.0,1.0,1.0,2.0,,LLM263
263,263,29,0.0,1.0,0.0,2.0,0.0,LLM264
264,264,59,0.0,0.0,3.0,3.0,0.0,LLM265
265,265,26,0.0,1.0,1.0,2.0,,LLM266
266,266,42,1.0,2.0,2.0,2.0,,LLM267
267,267,36,0.0,2.0,2.0,2.0,,LLM268
268,268,43,0.0,1.0,1.0,1.0,,LLM269
269,269,30,0.0,1.0,1.0,2.0,0.0,LLM270
270,270,37,0.0,1.0,2.0,3.0,,LLM271
271,271,33,0.0,2.0,0.0,2.0,,LLM272
272,272,40,0.0,1.0,2.0,1.0,,LLM273
273,273,25,0.0,0.0,1.0,3.0,,LLM274
274,274,23,0.0,0.0,0.0,3.0,0.0,LLM275
275,275,24,1.0,0.0,0.0,1.0,,LLM276
276,276,23,0.0,1.0,0.0,3.0,,LLM277
277,277,43,0.0,1.0,2.0,1.0,,LLM278
278,278,35,,3.0,0.0,1.0,0.0,LLM279
279,279,30,0.0,1.0,0.0,1.0,0.0,LLM280
280,280,29,0.0,1.0,1.0,1.0,,LLM281
281,281,27,1.0,1.0,0.0,0.0,,LLM282
282,282,30,1.0,2.0,1.0,2.0,,LLM283
283,283,만26세,0.0,2.0,1.0,2.0,0.0,LLM284
284,284,33,1.0,2.0,1.0,2.0,0.0,LLM285
285,285,25,0.0,1.0,0.0,2.0,,LLM286
286,286,48,1.0,3.0,2.0,2.0,,LLM287
287,287,24,1.0,0.0,0.0,1.0,,LLM288
288,288,35,0.0,1.0,2.0,3.0,,LLM289
289,289,23,0.0,1.0,0.0,2.0,0.0,LLM290
290,290,31,0.0,0.0,1.0,1.0,,LLM291
291,291,30,,2.0,1.0,2.0,,LLM292
292,292,28,1.0,0.0,0.0,2.0,,LLM293
293,293,29,1.0,1.0,1.0,2.0,0.0,LLM294
294,294,24세,,0.0,0.0,3.0,,LLM295
295,295,42,0.0,2.0,2.0,3.0,,LLM296
296,296,30,0.0,2.0,0.0,3.0,0.0,LLM297
297,297,31,1.0,1.0,0.0,3.0,0.0,LLM298
298,298,44,1.0,2.0,2.0,2.0,,LLM299
299,299,42,1.0,1.0,3.0,0.0,,LLM300
300,300,45,0.0,1.0,2.0,3.0,0.0,LLM301
301,301,36,0.0,1.0,2.0,0.0,,LLM302
302,302,39,1.0,1.0,2.0,2.0,,LLM303
303,303,24,1.0,2.0,1.0,1.0,,LLM304
304,304,28,1.0,0.0,0.0,2.0,,LLM305
305,305,19,1.0,0.0,0.0,1.0,0.0,LLM306
306,306,26세,1.0,0.0,0.0,3.0,0.0,LLM307
307,307,50,1.0,0.0,1.0,1.0,0.0,LLM308
308,308,47,0.0,1.0,3.0,1.0,,LLM309
309,309,32살,0.0,1.0,1.0,2.0,0.0,LLM310
310,310,35,0.0,2.0,0.0,1.0,,LLM311
311,311,24,0.0,1.0,1.0,2.0,,LLM312
312,312,21,0.0,1.0,0.0,3.0,,LLM313
313,313,36,,2.0,2.0,2.0,0.0,LLM314
314,314,34,0.0,1.0,2.0,0.0,,LLM315
315,315,33,1.0,1.0,0.0,3.0,0.0,LLM316
316,316,31,0.0,1.0,2.0,2.0,,LLM317
317,317,43,0.0,1.0,2.0,3.0,,LLM318
318,318,20,1.0,0.0,0.0,1.0,,LLM319
319,319,21,0.0,1.0,1.0,3.0,,LLM320
320,320,52,0.0,2.0,2.0,0.0,,LLM321
321,321,32,1.0,1.0,2.0,2.0,,LLM322
322,322,33,0.0,1.0,1.0,2.0,,LLM323
323,323,23,0.0,1.0,1.0,2.0,,LLM324
324,324,23,0.0,1.0,1.0,2.0,,LLM325
325,325,24,0.0,1.0,0.0,3.0,,LLM326
326,326,25,0.0,1.0,0.0,0.0,0.0,LLM327
327,327,55,0.0,1.0,2.0,3.0,,LLM328
328,328,44,0.0,1.0,2.0,3.0,0.0,LLM329
329,329,30,1.0,1.0,1.0,0.0,0.0,LLM330
330,330,49,0.0,1.0,0.0,2.0,,LLM331
331,331,38,1.0,1.0,1.0,1.0,,LLM332
332,332,25,0.0,1.0,1.0,2.0,,LLM333
333,333,34,0.0,1.0,1.0,3.0,,LLM334
334,334,49,0.0,0.0,2.0,1.0,,LLM335
335,335,19,0.0,0.0,0.0,3.0,,LLM336
336,336,54,0.0,1.0,3.0,2.0,,LLM337
337,337,22,0.0,0.0,1.0,3.0,,LLM338
338,338,30,0.0,0.0,1.0,1.0,,LLM339
339,339,45,0.0,1.0,2.0,3.0,,LLM340
340,340,65,,2.0,2.0,3.0,,LLM341
341,341,30,0.0,1.0,0.0,2.0,,LLM342
342,342,24,0.0,1.0,1.0,1.0,0.0,LLM343
343,343,38,0.0,1.0,2.0,1.0,0.0,LLM344
344,344,29,0.0,2.0,1.0,2.0,,LLM345
345,345,23,0.0,0.0,0.0,3.0,,LLM346
346,346,24,0.0,1.0,1.0,2.0,,LLM347
347,347,27,0.0,0.0,2.0,0.0,,LLM348
348,348,37,0.0,1.0,2.0,1.0,,LLM349
349,349,24,1.0,1.0,1.0,1.0,,LLM350
350,350,23,1.0,0.0,1.0,3.0,,LLM351
351,351,37,0.0,1.0,2.0,2.0,,LLM352
352,352,만 21세,1.0,1.0,0.0,1.0,0.0,LLM353
353,353,52,0.0,3.0,2.0,1.0,,LLM354
354,354,52,0.0,3.0,2.0,1.0,,LLM355
355,355,53,1.0,1.0,2.0,1.0,,LLM356
356,356,38,1.0,1.0,1.0,1.0,0.0,LLM357
357,357,35,0.0,1.0,2.0,1.0,,LLM358
358,358,34,1.0,1.0,0.0,2.0,,LLM359
359,359,27,,2.0,1.0,3.0,,LLM360
360,360,32,1.0,1.0,0.0,0.0,0.0,LLM361
361,361,48,0.0,2.0,2.0,0.0,0.0,LLM362
362,362,53,1.0,1.0,2.0,1.0,,LLM363
363,363,30,0.0,1.0,1.0,1.0,,LLM364
364,364,37,0.0,1.0,2.0,2.0,,LLM365
365,365,52,0.0,3.0,2.0,2.0,,LLM366
